YEAR,DATE,TIME,STREET1,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,PASSENGER,SPEEDING,REDLIGHT,ALCOHOL,DISABILITY,DIVISION,Record_ID
2017,2017/09/12,1426,BIRCHMOUNT RD,Major Arterial,Scarborough,43.817134,-79.314929,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,35 to 39,Minimal,False,False,True,False,False,False,False,False,False,False,D42,13034
2017,2017/09/12,1426,BIRCHMOUNT RD,Major Arterial,Scarborough,43.817134,-79.314929,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,60 to 64,Major,False,False,True,False,False,False,False,False,False,False,D42,13035
2017,2017/09/13,105,BLOOR ST W,Major Arterial,Toronto and East York,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,False,True,False,True,False,False,False,False,False,False,D14,13036
2017,2017/09/13,105,BLOOR ST W,Major Arterial,Toronto and East York,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Motorcycle Driver,20 to 24,None,False,True,False,True,False,False,False,False,False,False,D14,13037
2017,2017/09/14,1601,DON MILLS RD,Major Arterial,North York,43.714392,-79.336337,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,None,False,False,True,True,False,False,False,False,False,False,D55,13038
2017,2017/09/14,1601,DON MILLS RD,Major Arterial,North York,43.714392,-79.336337,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,15 to 19,Major,False,False,True,True,False,False,False,False,False,False,D55,13039
2017,2017/09/15,652,STEELES AVE W,Major Arterial,Etobicoke York,43.755641,-79.61288,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Truck Driver,30 to 34,Minimal,False,False,True,False,True,True,True,False,False,False,D23,13040
2017,2017/09/15,652,STEELES AVE W,Major Arterial,Etobicoke York,43.755641,-79.61288,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Passenger,55 to 59,Fatal,False,False,True,False,True,True,True,False,False,False,D23,13041
2017,2017/09/15,652,STEELES AVE W,Major Arterial,Etobicoke York,43.755641,-79.61288,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,50 to 54,Minor,False,False,True,False,True,True,True,False,False,False,D23,13042
2017,2017/09/15,652,STEELES AVE W,Major Arterial,Etobicoke York,43.755641,-79.61288,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,20 to 24,Major,False,False,True,False,True,True,True,False,False,False,D23,13043
2017,2017/09/17,2358,LAKE SHORE BLVD W,Major Arterial,Toronto and East York,43.630351,-79.419742,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,False,True,True,False,False,False,False,False,False,False,D14,13044
2017,2017/09/17,2358,LAKE SHORE BLVD W,Major Arterial,Toronto and East York,43.630351,-79.419742,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,False,True,True,False,False,False,False,False,False,False,D14,13045
2017,2017/09/18,2019,LAKE SHORE BLVD W,Major Arterial,Toronto and East York,43.631358,-79.429141,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,15 to 19,Major,False,True,True,False,False,False,False,False,False,False,D14,13046
2017,2017/09/18,2019,LAKE SHORE BLVD W,Major Arterial,Toronto and East York,43.631358,-79.429141,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,60 to 64,None,False,True,True,False,False,False,False,False,False,False,D14,13047
2017,2017/09/20,1953,BROADVIEW AVE,Minor Arterial,Toronto and East York,43.682852,-79.357181,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,True,False,True,False,False,False,False,False,False,False,D55,13048
2017,2017/09/20,1953,BROADVIEW AVE,Minor Arterial,Toronto and East York,43.682852,-79.357181,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,None,True,False,True,False,False,False,False,False,False,False,D55,13049
2017,2017/09/22,1632,SCARLETT  RD,Minor Arterial,Etobicoke York,43.676768,-79.505992,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,Major,False,False,True,False,False,False,False,True,False,False,D12,13050
2017,2017/09/22,1632,SCARLETT  RD,Minor Arterial,Etobicoke York,43.676768,-79.505992,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,None,False,False,True,False,False,False,False,True,False,False,D12,13051
2017,2017/09/23,50,ROCKCLIFFE BLVD,Collector,Etobicoke York,43.674117,-79.488162,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,False,False,True,False,False,True,True,False,False,False,D12,13052
2017,2017/09/23,50,ROCKCLIFFE BLVD,Collector,Etobicoke York,43.674117,-79.488162,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,False,False,True,False,False,True,True,False,False,False,D12,13053
2017,2017/09/23,50,ROCKCLIFFE BLVD,Collector,Etobicoke York,43.674117,-79.488162,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,False,False,True,False,False,True,True,False,False,False,D12,13054
2017,2017/09/23,50,ROCKCLIFFE BLVD,Collector,Etobicoke York,43.674117,-79.488162,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,None,False,False,True,False,False,True,True,False,False,False,D12,13055
2017,2017/09/23,50,ROCKCLIFFE BLVD,Collector,Etobicoke York,43.674117,-79.488162,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,False,False,True,False,False,True,True,False,False,False,D12,13056
2017,2017/09/23,50,ROCKCLIFFE BLVD,Collector,Etobicoke York,43.674117,-79.488162,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minimal,False,False,True,False,False,True,True,False,False,False,D12,13057
2017,2017/09/23,50,ROCKCLIFFE BLVD,Collector,Etobicoke York,43.674117,-79.488162,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,20 to 24,Minimal,False,False,True,False,False,True,True,False,False,False,D12,13058
2017,2017/09/24,0,YONGE ST,Major Arterial,North York,43.790942,-79.418277,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,True,False,True,False,False,False,False,False,False,False,D32,13059
2017,2017/09/24,0,YONGE ST,Major Arterial,North York,43.790942,-79.418277,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,True,False,True,False,False,False,False,False,False,False,D32,13060
2017,2017/09/24,0,YONGE ST,Major Arterial,North York,43.790942,-79.418277,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,True,False,True,False,False,False,False,False,False,False,D32,13061
2017,2017/09/24,1255,DUFFERIN ST,Major Arterial,North York,43.698622,-79.451267,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,60 to 64,None,False,True,True,False,False,False,False,False,False,False,D13,13062
2017,2017/09/24,1255,DUFFERIN ST,Major Arterial,North York,43.698622,-79.451267,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,False,True,True,False,False,False,False,False,False,False,D13,13063
2017,2017/05/28,1345,YONGE ST,Major Arterial,North York,43.744078,-79.40668,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,75 to 79,None,False,False,True,True,False,True,False,True,False,False,D32,13064
2017,2017/09/25,1652,EGLINTON  AVE W,Major Arterial,North York,43.700457,-79.427722,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,True,False,True,False,False,False,False,False,False,False,D13,13065
2017,2017/09/25,1652,EGLINTON  AVE W,Major Arterial,North York,43.700457,-79.427722,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,True,False,True,False,False,False,False,False,False,False,D13,13066
2017,2017/09/25,2330,4673 JANE ST,Major Arterial,Etobicoke York,43.770049,-79.520641,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,True,False,True,False,False,False,True,False,False,False,D31,13067
2017,2017/09/25,2330,4673 JANE ST,Major Arterial,Etobicoke York,43.770049,-79.520641,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,True,False,True,False,False,False,True,False,False,False,D31,13068
2017,2017/09/26,1505,BURNHAMTHORPE RD,Major Arterial,Etobicoke York,43.642485,-79.575847,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,None,False,False,True,True,False,False,False,True,False,False,D22,13069
2017,2017/09/26,1505,BURNHAMTHORPE RD,Major Arterial,Etobicoke York,43.642485,-79.575847,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,25 to 29,Major,False,False,True,True,False,False,False,True,False,False,D22,13070
2017,2017/09/27,2125,WARDEN AVE,Major Arterial,Scarborough,43.763491,-79.301257,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,unknown,None,True,False,True,False,False,False,True,False,False,False,D41,13071
2017,2017/09/27,2125,WARDEN AVE,Major Arterial,Scarborough,43.763491,-79.301257,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,True,False,True,False,False,False,True,False,False,False,D41,13072
2017,2017/09/27,2125,WARDEN AVE,Major Arterial,Scarborough,43.763491,-79.301257,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,5 to 9,Fatal,True,False,True,False,False,False,True,False,False,False,D41,13073
2017,2017/09/27,2125,WARDEN AVE,Major Arterial,Scarborough,43.763491,-79.301257,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,35 to 39,None,True,False,True,False,False,False,True,False,False,False,D41,13074
2017,2017/09/28,1630,BIRCHMOUNT RD,Minor Arterial,Scarborough,43.711009,-79.269771,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,45 to 49,None,True,False,True,False,False,True,False,False,True,False,D41,13075
2017,2017/09/28,1630,BIRCHMOUNT RD,Minor Arterial,Scarborough,43.711009,-79.269771,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Passenger,40 to 44,Minor,True,False,True,False,False,True,False,False,True,False,D41,13076
2017,2017/09/28,1630,BIRCHMOUNT RD,Minor Arterial,Scarborough,43.711009,-79.269771,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,True,False,True,False,False,True,False,False,True,False,D41,13077
2017,2017/09/28,1630,BIRCHMOUNT RD,Minor Arterial,Scarborough,43.711009,-79.269771,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,Minor,True,False,True,False,False,True,False,False,True,False,D41,13078
2017,2017/09/28,2135,4322 MCCOWAN RD,Major Arterial,Scarborough,43.829547,-79.274997,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,True,False,True,False,False,False,False,False,False,False,D42,13079
2017,2017/09/28,2135,4322 MCCOWAN RD,Major Arterial,Scarborough,43.829547,-79.274997,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,30 to 34,None,True,False,True,False,False,False,False,False,False,False,D42,13080
2017,2017/09/29,2325,YONGE ST,Major Arterial,North York,43.708125,-79.398631,Intersection,Non Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,True,False,True,False,False,False,False,False,False,False,D53,13081
2017,2017/09/29,2325,YONGE ST,Major Arterial,North York,43.708125,-79.398631,Intersection,Non Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,True,False,True,False,False,False,False,False,False,False,D53,13082
2017,2017/09/30,1311,ROGERS  RD,Minor Arterial,Etobicoke York,43.683287,-79.455447,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,0 to 4,None,False,False,True,False,False,True,False,False,False,True,D13,13083
2017,2017/09/30,1311,ROGERS  RD,Minor Arterial,Etobicoke York,43.683287,-79.455447,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,30 to 34,None,False,False,True,False,False,True,False,False,False,True,D13,13084
2017,2017/09/30,1311,ROGERS  RD,Minor Arterial,Etobicoke York,43.683287,-79.455447,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,0 to 4,None,False,False,True,False,False,True,False,False,False,True,D13,13085
2017,2017/09/30,1311,ROGERS  RD,Minor Arterial,Etobicoke York,43.683287,-79.455447,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,35 to 39,None,False,False,True,False,False,True,False,False,False,True,D13,13086
2017,2017/07/31,713,SHERBOURNE ST,Major Arterial,Toronto and East York,43.658221,-79.37099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Major,True,False,True,False,False,False,True,False,False,False,D51,13087
2017,2017/09/30,1311,ROGERS  RD,Minor Arterial,Etobicoke York,43.683287,-79.455447,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,None,False,False,True,False,False,True,False,False,False,True,D13,13088
2017,2017/09/30,1311,ROGERS  RD,Minor Arterial,Etobicoke York,43.683287,-79.455447,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,None,False,False,True,False,False,True,False,False,False,True,D13,13089
2017,2017/09/30,1311,ROGERS  RD,Minor Arterial,Etobicoke York,43.683287,-79.455447,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,90 to 94,Major,False,False,True,False,False,True,False,False,False,True,D13,13090
2017,2017/10/01,1615,DAVENPORT RD,Minor Arterial,Toronto and East York,43.674288,-79.434612,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,False,True,True,False,False,False,False,False,False,False,D13,13091
2017,2017/10/01,1615,DAVENPORT RD,Minor Arterial,Toronto and East York,43.674288,-79.434612,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,45 to 49,Major,False,True,True,False,False,False,False,False,False,False,D13,13092
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,Toronto and East York,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,False,True,False,False,True,True,False,False,False,False,D14,13093
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,Toronto and East York,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Truck Driver,25 to 29,None,False,True,False,False,True,True,False,False,False,False,D14,13094
2017,2017/02/02,219,BRIMLEY RD,Major Arterial,Scarborough,43.741065,-79.250186,Intersection,At Intersection,Stop Sign,Clear,Dark,Wet,Fatal,Turning Movement,Driver,15 to 19,None,False,False,True,False,False,False,True,False,False,False,D43,13095
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,Toronto and East York,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,None,False,True,False,False,True,True,False,False,False,False,D14,13096
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,Toronto and East York,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,None,False,True,False,False,True,True,False,False,False,False,D14,13097
2017,2017/10/02,645,WHITMORE AVE,Major Arterial,North York,43.697844,-79.451099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,True,False,True,False,False,False,True,False,False,False,D13,13098
