YEAR,DATE,TIME,STREET1,ROAD_CLASS,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,PASSENGER,SPEEDING,REDLIGHT,ALCOHOL,DISABILITY,Record_ID,division_id,district_id
2017,2017/07/03,1312,ST CLAIR AVE W,Major Arterial,43.686568,-79.401454,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,55 to 59,Major,False,True,False,False,False,False,False,False,False,False,13555,div1,district1
2017,2017/07/03,1312,ST CLAIR AVE W,Major Arterial,43.686568,-79.401454,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,False,True,False,False,False,False,False,False,False,False,13562,div1,district1
2017,2017/07/08,2007,BAYVIEW AVE,Major Arterial,43.680995,-79.36806,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,35 to 39,Fatal,False,False,True,True,False,False,False,False,False,False,13655,div1,district1
2017,2017/07/08,2007,BAYVIEW AVE,Major Arterial,43.680995,-79.36806,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,35 to 39,Minimal,False,False,True,True,False,False,False,False,False,False,13657,div1,district1
2017,2017/07/08,2007,BAYVIEW AVE,Major Arterial,43.680995,-79.36806,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,45 to 49,Minimal,False,False,True,True,False,False,False,False,False,False,13671,div1,district1
2017,2017/01/24,1635,95 REDPATH  AVE,Collector,43.706874,-79.392413,Mid-Block,Non Intersection,No Control,Freezing Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,True,False,True,False,False,False,False,False,False,False,13819,div1,district1
2017,2017/01/24,1635,95 REDPATH  AVE,Collector,43.706874,-79.392413,Mid-Block,Non Intersection,No Control,Freezing Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,None,True,False,True,False,False,False,False,False,False,False,13827,div1,district1
2017,2017/06/23,1510,YORKVILLE AVE,Collector,43.671492,-79.389255,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,True,False,True,False,False,True,False,False,False,False,13904,div1,district1
2017,2017/06/23,1510,YORKVILLE AVE,Collector,43.671492,-79.389255,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,10 to 14,None,True,False,True,False,False,True,False,False,False,False,13911,div1,district1
2017,2017/06/23,1510,YORKVILLE AVE,Collector,43.671492,-79.389255,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,85 to 89,Major,True,False,True,False,False,True,False,False,False,False,13917,div1,district1
2017,2017/07/19,1548,SPADINA RD,Minor Arterial,43.675795,-79.407451,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,False,False,True,False,False,False,False,False,False,False,13942,div1,district1
2017,2017/07/19,1548,SPADINA RD,Minor Arterial,43.675795,-79.407451,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,10 to 14,Major,False,False,True,False,False,False,False,False,False,False,13945,div1,district1
2018,2018/06/13,1241,CRESCENT RD,Major Arterial,43.678218,-79.38055,Mid-Block,Overpass or Bridge,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Other,Driver,45 to 49,None,False,False,False,False,False,True,False,False,False,False,14152,div1,district1
2018,2018/06/13,1241,CRESCENT RD,Major Arterial,43.678218,-79.38055,Mid-Block,Overpass or Bridge,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Other,Passenger,85 to 89,Major,False,False,False,False,False,True,False,False,False,False,14153,div1,district1
2018,2018/06/28,1803,MOUNT PLEASANT RD,Major Arterial,43.678252,-79.380664,Intersection,Intersection Related,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Motorcycle Driver,50 to 54,Major,False,False,False,True,False,False,False,False,False,False,14214,div1,district1
2017,2017/12/03,1253,PRICE ST,Local,43.679961,-79.389858,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,True,False,True,False,False,False,False,False,False,False,14319,div1,district1
2017,2017/12/03,1253,PRICE ST,Local,43.679961,-79.389858,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,45 to 49,None,True,False,True,False,False,False,False,False,False,False,14320,div1,district1
2017,2017/10/09,1628,YONGE ST,Major Arterial,43.673964,-79.388301,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,30 to 34,None,False,False,True,False,False,False,False,False,False,False,14495,div1,district1
2017,2017/10/09,1628,YONGE ST,Major Arterial,43.673964,-79.388301,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,60 to 64,Major,False,False,True,False,False,False,False,False,False,False,14498,div1,district1
2018,2018/01/11,1727,YONGE ST,Major Arterial,43.70666,-79.398326,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Major,True,False,False,False,False,False,False,False,False,False,14588,div1,district1
2018,2018/01/11,1727,YONGE ST,Major Arterial,43.70666,-79.398326,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,True,False,False,False,False,False,False,False,False,False,14594,div1,district1
2018,2018/03/28,1749,MOUNT PLEASANT RD,Major Arterial,43.68439,-79.383662,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,15 to 19,None,False,False,True,True,False,False,True,False,False,False,14607,div1,district1
2018,2018/03/28,1749,MOUNT PLEASANT RD,Major Arterial,43.68439,-79.383662,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,35 to 39,Fatal,False,False,True,True,False,False,True,False,False,False,14615,div1,district1
2018,2018/02/26,842,COLLIER ST,Local,43.672366,-79.386119,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Other,60 to 64,Major,False,False,True,False,False,False,False,False,False,False,14787,div1,district1
2018,2018/02/26,842,COLLIER ST,Local,43.672366,-79.386119,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Driver,55 to 59,None,False,False,True,False,False,False,False,False,False,False,14793,div1,district1
2018,2018/01/28,140,BATHURST ST,Major Arterial,43.703265,-79.425868,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,True,False,True,False,False,False,False,False,False,False,14873,div1,district1
2018,2018/01/28,140,BATHURST ST,Major Arterial,43.703265,-79.425868,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,None,True,False,True,False,False,False,False,False,False,False,14874,div1,district1
2019,2019/10/05,1611,DUPONT ST,Minor Arterial,43.676299,-79.400508,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,False,True,True,False,False,False,False,False,False,False,15099,div1,district1
2019,2019/10/05,1611,DUPONT ST,Minor Arterial,43.676299,-79.400508,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,60 to 64,Major,False,True,True,False,False,False,False,False,False,False,15100,div1,district1
2018,2018/09/28,1723,AVENUE RD,Major Arterial,43.683455,-79.400165,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minor,False,False,True,False,False,True,True,False,False,False,15154,div1,district1
2018,2018/09/28,1723,AVENUE RD,Major Arterial,43.683455,-79.400165,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,None,False,False,True,False,False,True,True,False,False,False,15159,div1,district1
2018,2018/09/28,1723,AVENUE RD,Major Arterial,43.683455,-79.400165,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,50 to 54,Major,False,False,True,False,False,True,True,False,False,False,15174,div1,district1
2018,2018/11/08,1900,LOWTHER AVE,Minor Arterial,43.668891,-79.404735,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,False,True,True,False,False,False,False,False,False,False,15331,div1,district1
2018,2018/11/08,1900,LOWTHER AVE,Minor Arterial,43.668891,-79.404735,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,25 to 29,None,False,True,True,False,False,False,False,False,False,False,15337,div1,district1
2019,2019/07/20,110,AVENUE RD,Major Arterial,43.67393,-79.396266,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,True,False,True,False,False,False,False,False,False,False,15504,div1,district1
2019,2019/07/20,110,AVENUE RD,Major Arterial,43.67393,-79.396266,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,True,False,True,False,False,False,False,False,False,False,15512,div1,district1
2018,2018/12/22,623,DAVENPORT  RD,Major Arterial,43.67512,-79.394153,Mid-Block,Non Intersection,No Control,Clear,"Dawn, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,True,False,True,False,False,False,True,False,False,False,15715,div1,district1
2018,2018/12/22,623,DAVENPORT  RD,Major Arterial,43.67512,-79.394153,Mid-Block,Non Intersection,No Control,Clear,"Dawn, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Major,True,False,True,False,False,False,True,False,False,False,15728,div1,district1
2018,2018/12/22,623,DAVENPORT  RD,Major Arterial,43.67512,-79.394153,Mid-Block,Non Intersection,No Control,Clear,"Dawn, artificial",Dry,Fatal,Pedestrian Collisions,Driver,55 to 59,None,True,False,True,False,False,False,True,False,False,False,15735,div1,district1
2019,2019/04/09,1132,ST CLAIR AVE W,Major Arterial,43.68801,-79.394099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,None,True,False,True,False,False,False,False,False,False,False,15852,div1,district1
2019,2019/04/09,1132,ST CLAIR AVE W,Major Arterial,43.68801,-79.394099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,True,False,True,False,False,False,False,False,False,False,15868,div1,district1
2021,2021/01/27,905,AVENUE RD,Major Arterial,43.704528,-79.408473,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Turning Movement,Driver,15 to 19,None,False,False,True,False,False,False,False,False,False,False,16129,div1,district1
2021,2021/01/27,905,AVENUE RD,Major Arterial,43.704528,-79.408473,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Turning Movement,Driver,30 to 34,Major,False,False,True,False,False,False,False,False,False,False,16137,div1,district1
2020,2020/03/26,1845,LASCELLES BLVD,Local,43.696471,-79.400111,Intersection,At Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,35 to 39,Major,False,False,True,False,False,False,False,False,False,True,16244,div1,district1
2020,2020/04/23,1323,YONGE ST,Major Arterial,43.700225,-79.396999,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,75 to 79,None,False,False,True,True,False,False,False,False,False,True,16521,div1,district1
2020,2020/04/23,1323,YONGE ST,Major Arterial,43.700225,-79.396999,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Motorcycle Driver,60 to 64,Major,False,False,True,True,False,False,False,False,False,True,16528,div1,district1
2021,2021/03/18,1515,204 CLEVELAND ST,Collector,43.705317,-79.378703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,80 to 84,None,True,False,True,False,False,False,False,False,False,False,16753,div1,district1
2021,2021/03/18,1515,204 CLEVELAND ST,Collector,43.705317,-79.378703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,5 to 9,Major,True,False,True,False,False,False,False,False,False,False,16760,div1,district1
2021,2021/03/21,1515,ORIOLE PKWY,Major Arterial,43.694503,-79.402149,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Motorcycle Driver,50 to 54,Major,False,False,False,True,False,False,False,False,False,False,16806,div1,district1
2020,2020/05/28,1739,DAVISVILLE AVE,Minor Arterial,43.69871,-79.39429,Mid-Block,At/Near Private Drive,Pedestrian Crossover,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,True,False,True,False,False,False,False,False,False,False,16867,div1,district1
2020,2020/05/28,1739,DAVISVILLE AVE,Minor Arterial,43.69871,-79.39429,Mid-Block,At/Near Private Drive,Pedestrian Crossover,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,True,False,True,False,False,False,False,False,False,False,16873,div1,district1
2020,2020/05/28,1739,DAVISVILLE AVE,Minor Arterial,43.69871,-79.39429,Mid-Block,At/Near Private Drive,Pedestrian Crossover,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Minor,True,False,True,False,False,False,False,False,False,False,16879,div1,district1
2019,2019/12/15,309,MOUNT PLEASANT RD,Major Arterial,43.706015,-79.389255,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,20 to 24,None,False,False,True,False,False,True,True,False,False,False,16967,div1,district1
2019,2019/12/15,309,MOUNT PLEASANT RD,Major Arterial,43.706015,-79.389255,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,Minimal,False,False,True,False,False,True,True,False,False,False,16969,div1,district1
2019,2019/12/15,309,MOUNT PLEASANT RD,Major Arterial,43.706015,-79.389255,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,30 to 34,Major,False,False,True,False,False,True,True,False,False,False,16971,div1,district1
2021,2021/09/22,2006,DAVENPORT RD,Major Arterial,43.674575,-79.392764,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,Driver,75 to 79,None,True,False,True,False,False,False,False,False,False,False,17137,div1,district1
2021,2021/09/22,2006,DAVENPORT RD,Major Arterial,43.674575,-79.392764,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,Pedestrian,20 to 24,Major,True,False,True,False,False,False,False,False,False,False,17138,div1,district1
2021,2021/10/16,1917,BAY ST,Major Arterial,43.67055,-79.389858,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,unknown,None,True,False,True,False,False,False,True,False,False,False,17188,div1,district1
2021,2021/10/16,1917,BAY ST,Major Arterial,43.67055,-79.389858,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Pedestrian,20 to 24,Major,True,False,True,False,False,False,True,False,False,False,17189,div1,district1
2021,2021/10/25,1255,ORIOLE PKWY,Minor Arterial,43.704482,-79.405879,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,True,False,True,False,False,False,False,False,False,False,17210,div1,district1
2021,2021/10/25,1255,ORIOLE PKWY,Minor Arterial,43.704482,-79.405879,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,True,False,True,False,False,False,False,False,False,False,17211,div1,district1
2021,2021/05/27,1315,44 RUSSELL HILL RD,Collector,43.681243,-79.404117,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,70 to 74,None,False,True,True,False,False,False,False,False,False,False,17221,div1,district1
2021,2021/05/27,1315,44 RUSSELL HILL RD,Collector,43.681243,-79.404117,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,False,True,True,False,False,False,False,False,False,False,17325,div1,district1
2021,2021/11/09,1013,DAVENPORT RD,Major Arterial,43.674315,-79.399646,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,60 to 64,None,True,False,True,False,False,False,False,False,False,False,17486,div1,district1
2021,2021/11/09,1013,DAVENPORT RD,Major Arterial,43.674315,-79.399646,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Pedestrian,85 to 89,Major,True,False,True,False,False,False,False,False,False,False,17488,div1,district1
2022,2022/06/27,1956,BAY ST,Major Arterial,43.672064,-79.390491,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,55 to 59,Major,False,False,True,False,False,False,False,True,False,False,17505,div1,district1
2022,2022/06/27,1956,BAY ST,Major Arterial,43.672064,-79.390491,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,unknown,None,False,False,True,False,False,False,False,True,False,False,17513,div1,district1
2021,2021/12/08,2102,AVENUE RD,Major Arterial,43.686633,-79.40147,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Driver,80 to 84,Major,False,False,True,False,False,True,False,False,False,False,17716,div1,district1
2021,2021/12/08,2102,AVENUE RD,Major Arterial,43.686633,-79.40147,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minimal,False,False,True,False,False,True,False,False,False,False,17723,div1,district1
2021,2021/12/08,2102,AVENUE RD,Major Arterial,43.686633,-79.40147,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Driver,60 to 64,None,False,False,True,False,False,True,False,False,False,False,17727,div1,district1
2021,2021/12/08,2102,AVENUE RD,Major Arterial,43.686633,-79.40147,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Driver,40 to 44,None,False,False,True,False,False,True,False,False,False,False,17734,div1,district1
2021,2021/12/08,2102,AVENUE RD,Major Arterial,43.686633,-79.40147,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Passenger,75 to 79,Major,False,False,True,False,False,True,False,False,False,False,17740,div1,district1
2021,2021/12/08,2102,AVENUE RD,Major Arterial,43.686633,-79.40147,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Passenger,40 to 44,Minimal,False,False,True,False,False,True,False,False,False,False,17742,div1,district1
2022,2022/12/13,2301,AVENUE RD,Major Arterial,43.690657,-79.403026,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,Major,False,False,True,False,False,False,True,False,False,False,18171,div1,district1
2022,2022/12/13,2301,AVENUE RD,Major Arterial,43.690657,-79.403026,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,Minor,False,False,True,False,False,False,True,False,False,False,18172,div1,district1
2017,2017/08/28,1845,OSSINGTON  AVE,Minor Arterial,43.658473,-79.424274,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,30 to 34,Major,False,False,True,True,False,False,False,False,False,False,13003,div2,district1
2017,2017/08/28,1845,OSSINGTON  AVE,Minor Arterial,43.658473,-79.424274,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,False,False,True,True,False,False,False,False,False,False,13004,div2,district1
2017,2017/09/13,105,BLOOR ST W,Major Arterial,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,False,True,False,True,False,False,False,False,False,False,13036,div2,district1
2017,2017/09/13,105,BLOOR ST W,Major Arterial,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Motorcycle Driver,20 to 24,None,False,True,False,True,False,False,False,False,False,False,13037,div2,district1
2017,2017/09/17,2358,LAKE SHORE BLVD W,Major Arterial,43.630351,-79.419742,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,False,True,True,False,False,False,False,False,False,False,13044,div2,district1
2017,2017/09/17,2358,LAKE SHORE BLVD W,Major Arterial,43.630351,-79.419742,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,False,True,True,False,False,False,False,False,False,False,13045,div2,district1
2017,2017/09/18,2019,LAKE SHORE BLVD W,Major Arterial,43.631358,-79.429141,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,15 to 19,Major,False,True,True,False,False,False,False,False,False,False,13046,div2,district1
2017,2017/09/18,2019,LAKE SHORE BLVD W,Major Arterial,43.631358,-79.429141,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,60 to 64,None,False,True,True,False,False,False,False,False,False,False,13047,div2,district1
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,False,True,False,False,True,True,False,False,False,False,13093,div2,district1
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Truck Driver,25 to 29,None,False,True,False,False,True,True,False,False,False,False,13094,div2,district1
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,None,False,True,False,False,True,True,False,False,False,False,13096,div2,district1
2017,2017/10/01,1815,BLOOR ST W,Major Arterial,43.666583,-79.403827,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,None,False,True,False,False,True,True,False,False,False,False,13097,div2,district1
2017,2017/02/18,347,DUFFERIN ST,Major Arterial,43.668391,-79.438991,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,30 to 34,Major,False,False,True,False,False,True,True,True,True,False,13137,div2,district1
2017,2017/02/18,347,DUFFERIN ST,Major Arterial,43.668391,-79.438991,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Minor,False,False,True,False,False,True,True,True,True,False,13138,div2,district1
